                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.08921,                0.98774,                      1,                 0.3839,             0.00023764,             0.00023764,             0.00023764
                      2,                0.00936,                0.98927,                      1,                0.37821,             0.00042855,             0.00042855,             0.00042855
                      3,                0.00674,                0.98896,                      1,                0.37896,             0.00057234,             0.00057234,             0.00057234
                      4,                 0.0049,                0.99448,                      1,                0.37499,             0.00050194,             0.00050194,             0.00050194
                      5,                  0.001,                0.99601,                      1,                0.37392,             0.00050194,             0.00050194,             0.00050194
                      6,                0.00145,                0.98804,                      1,                0.37831,             0.00043126,             0.00043126,             0.00043126
                      7,                0.00186,                0.99479,                      1,                 0.3746,             0.00036057,             0.00036057,             0.00036057
                      8,                0.00068,                0.99356,                      1,                0.37494,             0.00028988,             0.00028988,             0.00028988
                      9,                 0.0003,                0.99295,                      1,                0.37515,              0.0002192,              0.0002192,              0.0002192
                     10,                0.00023,                0.99479,                      1,                0.37407,             0.00014851,             0.00014851,             0.00014851
